Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
1989-08-30,4 games,Bobby Riley,WR,New York Jets,Violating the substance policies
1989-08-30,4 games,Ron Solt,OG,Philadelphia Eagles,Violating the substance policies
1989-08-30,4 games,Leroy Irvin,CB,Los Angeles Rams,Violating the substance policies
1989-08-30,4 games,Orson Mobley,TE,Denver Broncos,Violating the substance policies
1989-08-30,4 games,Maurice Douglass,DB,Chicago Bears,Violating the substance policies
1989-08-30,4 games,Matt Jaworski,LB,Buffalo Bills,Violating the substance policies
1989-08-30,4 games,Tom Doctor,LB,Buffalo Bills,Violating the substance policies
1989-08-30,4 games,Sean Doctor,FB,Buffalo Bills,Violating the substance policies
1989-08-30,4 games,Mike Ariey,OL,Green Bay Packers,Violating the substance policies
1989-08-30,4 games,Keith Uecker,OL,Green Bay Packers,Violating the substance policies
1989-08-30,4 games,Mark Mraz,DE,Los Angeles Raiders,Violating the substance policies
1989-08-30,4 games,Vernon Kirk,TE,Los Angeles Rams,Violating the substance policies
1989-08-30,4 games,Keith Henderson,RB,San Francisco 49ers,Violating the substance policies
1989-08-30,4 games,Rollin Putzier,NT,San Francisco 49ers,Violating the substance policies
1989-08-12,30 days,Tony Burse,FB,Seattle Seahawks,Violating the substance policies
1989-05-15,Life,Stanley Wilson,RB,Cincinnati Bengals,Violating the substance policies
1988-11-30,4 games,Mark Duper,WR,Miami Dolphins,Violating the substance policies
1988-11-30,4 games,Victor Scott,DB,Dallas Cowboys,Violating the substance policies
1988-11-10,4 games,Doug Smith,NT,Houston Oilers,Violating the substance policies
1988-11-10,4 games,Hal Garner,LB,Buffalo Bills,Violating the substance policies
1988-09-08,4 games,Charles White,RB,Los Angeles Rams,Violating the substance policies
1988-09-03,4 games,Bruce Smith,DE,Buffalo Bills,Violating the substance policies
1988-09-03,4 games,John Taylor,WR,San Francisco 49ers,Violating the substance policies
1988-09-01,4 games,Emanuel King,LB,Cincinnati Bengals,Violating the substance policies
1988-09-01,4 games,Daryl Smith,CB,Cincinnati Bengals,Violating the substance policies
1988-08-31,4 games,Terry Taylor,CB,Seattle Seahawks,Violating the substance policies
1988-08-30,4 games,Lawrence Taylor,LB,New York Giants,Violating the substance policies
1988-08-13,Entire 1988 season,Tony Collins,RB,Indianapolis Colts,Violating the substance policies
1988-08-06,4 games,Doug DuBose,RB,San Francisco 49ers,Violating the substance policies
1988-08-06,4 games,Robb Riddick,RB,Buffalo Bills,Violating the substance policies
1988-08-06,4 games,Greg Townsend,DE,Los Angeles Raiders,Violating the substance policies
1988-08-06,4 games,Richard Reed,DE,Denver Broncos,Violating the substance policies
1988-08-06,4 games,Pat Saindon,OL,Atlanta Falcons,Violating the substance policies
1988-08-03,4 games,Kevin Gogan,OG,Dallas Cowboys,Violating the substance policies
1988-07-27,4 games,Dexter Manley,DE,Washington Redskins,Violating the substance policies
1987-06-24,Entire 1987 season,Stanley Wilson,RB,Cincinnati Bengals,Violating the substance policies
1986-11-24,2 games,Charles Martin,DE,Green Bay Packers,Body-slamming Chicago Bears quarterback Jim McMahon
1986-10-09,1 game,Greg Townsend,DE,Los Angeles Raiders,"Unsportsmanlike conduct, stemming from his participation in a brawl versus the Kansas City Chiefs on October 5, 1986"
1984-11-01,Entire 1984 season,Chuck Muncie,RB,San Diego Chargers,Violating the substance policies
1984-10-30,Entire 1984 and 1985 seasons,Stanley Wilson,RB,Cincinnati Bengals,Violating the substance policies
1983-11-13,Indefinite (reinstated in May 1984),Tony Peters,S,Washington Redskins,Violating the substance policies
1983-08-02,Entire 1983 season,Mike Reilly,LB,Los Angeles Rams,Being convicted of vehicular manslaughter
1983-07-26,4 games,Ross Browner,DE,Cincinnati Bengals,Violating the substance policies
1983-07-26,4 games,Pete Johnson,FB,Cincinnati Bengals,Violating the substance policies
1983-07-26,4 games,E. J. Junior,LB,St. Louis Cardinals,Violating the substance policies
1983-07-26,4 games,Greg Stemrick,CB,New Orleans Saints,Violating the substance policies
1983-05-20,Indefinite (reinstated in June 1984),Art Schlichter,QB,Baltimore Colts,Betting on NFL games and other sporting events
1982-07-27,3 games,Roger Carr,WR,Baltimore Colts,Conduct detrimental to the team
1963-04-17,Entire 1963 season,Alex Karras,DT,Detroit Lions,Betting on NFL games
1963-04-17,Entire 1963 season,Paul Hornung,HB,Green Bay Packers,Betting on NFL games
1947-11-22,1 game,Jack Matheson,OE,Chicago Bears,Conduct detrimental to the league
1947-04-03,Life,Frank Filchock,QB,New York Giants,Fixing the 1946 NFL Championship Game
1947-04-03,Life,Merle Hapes,RB,New York Giants,Fixing the 1946 NFL Championship Game
1925-12-17,Life (reinstated in 1926),Art Folz,QB,Chicago Cardinals,Involvement in the 1925 Chicago Cardinals–Milwaukee Badgers scandal
