Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2016-11-01,3 games,Armonty Bryant,DE,Detroit Lions,Violating the substance policies
2016-10-14,4 games,Derrick Coleman,FB,Free agent,"Violation of the league's personal conduct policy, stemming from a guilty domestic violence charge"
2016-10-11,10 games,Lane Johnson,OT,Philadelphia Eagles,Violating the substance policies
2016-09-29,10 games,Randy Gregory,DE,Dallas Cowboys,Violating the substance policies
2016-09-16,2 games,Manny Lawson,LB,Free agent,Undisclosed
2016-09-15,10 games,Nikita Whitlock,FB,New York Giants,Violating the substance policies
2016-09-07,4 games,Seantrel Henderson,OT,Buffalo Bills,Violating the substance policies
2016-09-03,4 games,Chris Scott,OG,Carolina Panthers,Violating the substance policies
2016-09-02,4 games,Rob Ninkovich,DE,New England Patriots,Violating the substance policies
2016-08-30,4 games,Sammie Lee Hill,DT,Free agent,Violating the substance policies
2016-08-29,2 games,Prince Shembo,LB,Free agent,"Violation of the league's personal conduct policy, stemming from charges of animal cruelty"
2016-08-24,4 games,Damion Square,DE,San Diego Chargers,Violating the substance policies
2016-08-19,3 games,Le'Veon Bell,RB,Pittsburgh Steelers,Violating the substance policies
2016-08-17,1 game,Josh Brown,K,New York Giants,Violation of the league's personal conduct policy
2016-08-17,4 games,Zach Sterup,OT,Kansas City Chiefs,Violating the substance policies
2016-08-16,2 games,K'Waun Williams,CB,Cleveland Browns,Conduct detrimental to the team
2016-08-16,4 games,Marcell Dareus,DT,Buffalo Bills,Violating the substance policies
2016-08-12,2 games,Andrew Quarless,TE,Free agent,Violation of the league's personal conduct policy
2016-08-12,2 games,Shiloh Keo,S,Denver Broncos,Violating the substance policies
2016-08-05,1 game,Marqueston Huff,CB,Tennessee Titans,Violating the substance policies
2016-07-25,4 games,Josh Gordon,WR,Cleveland Browns,Violating the substance policies
2016-07-22,4 games,Arthur Jones,DE,Indianapolis Colts,Violating the substance policies
2016-07-15,4 games,Aaron Lynch,OLB,San Francisco 49ers,Violating the substance policies
2016-07-15,4 games,Karlos Williams,RB,Buffalo Bills,Violating the substance policies
2016-07-01,4 games,Darren Waller,TE,Baltimore Ravens,Violating the substance policies
2016-06-30,1 game,Sheldon Richardson,DE,New York Jets,Violation of the league's personal conduct policy
2016-06-30,4 games,DeMarcus Lawrence,DE,Dallas Cowboys,Violating the substance policies
2016-06-30,10 games,Rolando McClain,LB,Dallas Cowboys,Violating the substance policies
2016-06-30,4 games,Johnny Manziel,QB,Free agent,Violating the substance policies
2016-05-06,2 games,Bernard Pierce,RB,Free agent,Violating the substance policies
2016-05-06,4 games,Jace Davis,WR,Free agent,Violating the substance policies
2016-04-25,4 games,Tom Brady,QB,New England Patriots,"Originally suspended in May 2015 and reinstated in Sep. 2015, but was overruled by the 2nd U.S. Circuit Court of Appeals in April 2016"
2016-04-12,Indefinite (reinstated in Dec. 2016),Silas Redd,RB,Washington Redskins,Violating the substance policies
2016-04-08,4 games,Jalen Collins,CB,Atlanta Falcons,Violating the substance policies
2016-04-08,4 games,Aaron Colvin,CB,Jacksonville Jaguars,Violating the substance policies
2016-04-08,4 games,Demetri Goodson,CB,Green Bay Packers,Violating the substance policies
2016-04-08,4 games,Andrew Turzilli,WR,Tennessee Titans,Violating the substance policies
2016-03-16,10 games,Will Hill,SS,Free agent,Violating the substance policies
2016-03-14,Entire 2016 season,Martavis Bryant,WR,Pittsburgh Steelers,Violating the substance policies
2016-03-14,4 games,Taylor Mays,SS,Free agent,Violating the substance policies
2016-03-14,4 games,Nick Moody,LB,Free agent,Violating the substance policies
2016-03-04,4 games,Armonty Bryant,OLB,Cleveland Browns,Violating the substance policies
2016-02-19,4 games,Randy Gregory,DE,Dallas Cowboys,Violating the substance policies
2016-02-19,10 games,Nick Boyle,TE,Baltimore Ravens,Violating the substance policies
2016-02-19,4 games,Mike Pennel,NT,Green Bay Packers,Violating the substance policies
2016-01-11,3 games,Vontaze Burfict,LB,Cincinnati Bengals,Repeated violations of safety-related playing rules
2015-12-28,4 games,Marcel Reece,FB,Oakland Raiders,Violating the substance policies
2015-12-21,1 game,Odell Beckham Jr.,WR,New York Giants,Helmet-to-helmet collision on Carolina Panthers cornerback Josh Norman
2015-12-10,10 games,Jalen Saunders,WR,Chicago Bears,Violating the substance policies
2015-12-08,4 games,Kwon Alexander,LB,Tampa Bay Buccaneers,Violating the substance policies
2015-12-07,4 games,Nick Boyle,TE,Baltimore Ravens,Violating the substance policies
2015-11-24,Indefinite,LaRon Landry,FS,Free agent,Violating the substance policies
2015-11-24,Entire 2015 season,Frank Alexander,DE,Carolina Panthers,Violating the substance policies
2015-11-23,4 games,Wes Horton,DE,Carolina Panthers,Violating the substance policies
2015-11-23,1 game,Stephen Hill,WR,Carolina Panthers,Violating the substance policies
2015-11-18,4 games,Silas Redd,RB,Washington Redskins,Violating the substance policies
2015-11-17,Entire 2016 season,Aldon Smith,OLB,Oakland Raiders,Violating the substance policies
2015-11-16,2 games,Junior Galette,OLB,Washington Redskins,Violation of the league's personal conduct policy
2015-11-13,4 games,Clyde Gates,WR,Free agent,Violating the substance policies
2015-11-12,4 games,Ego Ferguson,DE,Chicago Bears,Violating the substance policies
2015-11-10,4 games,Joseph Randle,RB,Free agent,Violation of the league's personal conduct policy
2015-11-10,4 games,Tayo Fabuluje,OT,Chicago Bears,Violating the substance policies
2015-11-10,4 games,Jalen Saunders,WR,Chicago Bears,Violating the substance policies
2015-11-09,1 game,Aqib Talib,CB,Denver Broncos,Poking the eye of Indianapolis Colts tight end Dwayne Allen
2015-11-09,4 games,Stedman Bailey,WR,St. Louis Rams,Violating the substance policies
2015-11-04,Indefinite,Trey Watts,RB,St. Louis Rams,Violating the substance policies
2015-11-03,4 games,Kaleb Ramsey,DE,San Francisco 49ers,Violating the substance policies
2015-10-30,1 game,Matt Elam,SS,Baltimore Ravens,Violating the substance policies
2015-10-19,4 games,Quincy Enunwa,WR,New York Jets,Violation of the league's personal conduct policy
2015-10-15,Indefinite (reinstated four days later),Derrick Coleman,FB,Seattle Seahawks,"Violation of team rules, stemming from an arrest on charges of vehicular assault and hit and run"
2015-10-02,4 games,A. J. Cruz,WR,Free agent,Violating the substance policies
2015-09-14,1 game,Chris Culliver,CB,Washington Redskins,Violation of the league's personal conduct policy
2015-09-11,4 games,IK Enemkpali,DE,Buffalo Bills,Punching and breaking the jaw of New York Jets quarterback Geno Smith during an locker room altercation
